Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
1,AT-2015-541180,24/05/2025,29/05/2025,Second Class,AT-10009,Felix Berger,Home Office,Austria,Bürs,Vorarlberg,6706,Vorarlberg,TEC-LA-62972913,Technology,Laptops,MontafonBook Pro,474.36
2,AT-2015-952618,24/10/2025,30/10/2025,Standard Class,AT-10002,Sophie Gruber,Corporate,Austria,Bregenz,Vorarlberg,6900,Vorarlberg,TEC-PH-78476354,Technology,Phones,AlpenPhone X1,765.48
3,AT-2021-908940,07/03/2025,09/03/2025,Second Class,AT-10000,Anna Müller,Corporate,Austria,Altach,Vorarlberg,6844,Vorarlberg,OFF-LA-65015190,Office Supplies,Labels,Austrian Address Labels,1631.77
4,AT-2015-102824,19/07/2025,23/07/2025,Second Class,AT-10004,Laura Huber,Home Office,Austria,Rankweil,Vorarlberg,6830,Vorarlberg,FUR-TA-90459451,Furniture,Tables,Lake Constance Table,1448.61
5,AT-2023-598585,17/04/2025,23/04/2025,First Class,AT-10009,Felix Berger,Home Office,Austria,Nenzing,Vorarlberg,6710,Vorarlberg,FUR-BO-83591402,Furniture,Bookcases,Vorarlberg Oak Bookcase,543.02
6,AT-2019-296940,14/01/2025,18/01/2025,Standard Class,AT-10001,Lukas Hofer,Corporate,Austria,Nenzing,Vorarlberg,6710,Vorarlberg,TEC-AC-35860104,Technology,Accessories,Bregenzer Mouse,781.15
7,AT-2020-218127,17/04/2025,20/04/2025,Second Class,AT-10003,Maximilian Bauer,Corporate,Austria,Götzis,Vorarlberg,6840,Vorarlberg,TEC-TA-64761497,Technology,Tablets,Bodensee Tab,1824.49
8,AT-2020-437871,25/12/2025,30/12/2025,First Class,AT-10003,Maximilian Bauer,Consumer,Austria,Altach,Vorarlberg,6844,Vorarlberg,TEC-AC-23252555,Technology,Accessories,Bregenzer Mouse,175.91
9,AT-2021-196223,06/03/2025,07/03/2025,Same Day,AT-10008,Mia Fuchs,Consumer,Austria,Lauterach,Vorarlberg,6923,Vorarlberg,TEC-PH-25071023,Technology,Phones,AlpenPhone X1,1603.45
10,AT-2015-454291,24/10/2025,29/10/2025,Standard Class,AT-10000,Anna Müller,Consumer,Austria,Frastanz,Vorarlberg,6820,Vorarlberg,FUR-BO-47571795,Furniture,Bookcases,Vorarlberg Oak Bookcase,1022.28
11,AT-2017-570101,28/05/2025,31/05/2025,Standard Class,AT-10003,Maximilian Bauer,Home Office,Austria,Gais,Vorarlberg,6861,Vorarlberg,TEC-TA-59337526,Technology,Tablets,Bodensee Tab,576.32
12,AT-2023-742575,03/05/2025,10/05/2025,Same Day,AT-10008,Mia Fuchs,Consumer,Austria,Rankweil,Vorarlberg,6830,Vorarlberg,FUR-BO-83153134,Furniture,Bookcases,Vorarlberg Oak Bookcase,887.32
13,AT-2015-129959,10/03/2025,15/03/2025,Second Class,AT-10002,Sophie Gruber,Consumer,Austria,Bludenz,Vorarlberg,6700,Vorarlberg,TEC-LA-67634247,Technology,Laptops,MontafonBook Pro,1028.78
14,AT-2022-882975,15/07/2025,18/07/2025,Second Class,AT-10002,Sophie Gruber,Home Office,Austria,Mittelberg,Vorarlberg,6993,Vorarlberg,OFF-AR-26064482,Office Supplies,Art,Montafon Art Set,1929.9
